Address,Full Address,Name,Date,Architect,Builder,Style,Link,Notes,Photo,Marker
219 Kelvin Pl,"219 Kelvin Pl, Ithaca, NY 14850",,1906,,,Tudor Revival,http://cayugaheightshistory.weebly.com/219-kelvin-place.html,"This stucco home with low-hanging, open eaves and exposed timbers is typical of the Craftsman homes in the Cornell Heights Historic District. One hundred sixty six homes are part of a single historic district that straddles Cornell Heights (125 homes) and Cayuga Heights (41 homes), which together comprise what we now call the Cornell Heights Historic District. (Notable Architecture)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSXdBbU8zRFZTSzA&export=download,
22 Spruce Lane,"22 Spruce Lane, Ithaca, NY 14850",,1989,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdnRXeXNYZFJPazQ&export=download,
220 Berkshire Rd,"220 Berkshire Rd, Ithaca, NY 14850",,1950,Carl Tallman,,Colonial,https://ecommons.cornell.edu/bitstream/handle/1813/18540/Kane_Robert_J_1992.pdf?sequence=2&isAllowed=y,"Home to Robert J. Kane, CU Director of Athletics (1940-1976), President of the US Olympic Committee (1977-1981), US Olympic Hall of Fame. (Major Award Winners, Sports History)",http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LN1FEc0drS29QM2c&export=download,
220 Comstock Rd,"220 Comstock Rd, Ithaca, NY 14850",,1956,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWUZLOVpxNmV4am8&export=download,
220 Devon Rd,"220 Devon Rd, Ithaca, NY 14850",,1967,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LMEt1cXNuNUZLMUk&export=download,
220 Highgate Rd,"220 Highgate Rd, Ithaca, NY 14850",,1938,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNmMweHpkbl9mazQ&export=download,
2203 North Triphammer Rd,"2203 North Triphammer Rd, Ithaca, NY 14850",,1960,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMb3R0WHNxSlNaTDQ&export=download,
2207 North Triphammer Rd,"2207 North Triphammer Rd, Ithaca, NY 14850",,1952,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMeWJXc0t1OW9qR1U&export=download,
2209 North Triphammer Rd,"2209 North Triphammer Rd, Ithaca, NY 14850",,1960,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdVgya1V2N3J2dFU&export=download,
221 Berkshire Rd,"221 Berkshire Rd, Ithaca, NY 14850",,1965,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMaEpSbVpsRjFMaGc&export=download,
221 Highgate Rd,"221 Highgate Rd, Ithaca, NY 14850",,1983,,,Tudor Revival,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdVJfNWl3MlNEbGM&export=download,
2211 North Triphammer Rd,"2211 North Triphammer Rd, Ithaca, NY 14850",,1960,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMN09MS245blRvZXc&export=download,
2213 North Triphammer Rd,"2213 North Triphammer Rd, Ithaca, NY 14850",,1960,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMM0xZaDZOdmNzOTQ&export=download,
2214 North Triphammer Rd,"42.474901, -76.481923",Manning-LaBar Farm House,1810-1829,,,Farm House,http://cayugaheightshistory.weebly.com/2230-n-triphammer-rd---manning-farm-house---carol-sisler-article.html,"The two-story red brick building now on Kendal at Ithaca property along North Triphammer Road is known as the Manning-Labar Farmhouse. According to former Cayuga Heights Village Historian Carol Sisler, the home was built sometime between 1810 and 1829.  It is a candidate for the oldest home in Cayuga Heights. 
The façade of the original part of the house is distinctively symmetrical, with two side-by-side front doors flanked by nine-over-six pane windows. It has a side gable that faces the road and a low-pitched roof with chimneys on each end of the house. A later addition extended the house to the west, maintaining the plain brick exterior but disrupting the Georgian symmetry. The foundation is brick, which is an atypical feature for Tompkins County, suggesting that the builder of the home drew on an architectural tradition from another region.
Beginning about 1811 the property was the “homestead” of Richard Manning (d. 1827) and Lydia Vaughan Manning (1778-1848). Richard Manning purchased 36 acres from Lydia’s father, Daniel Vaughan, a Revolutionary War veteran from Knowlton, New Jersey. The Mannings bought an additional 47 acres from William Kimple, also a Revolutionary War soldier from New Jersey.
Richard Manning died land-rich but in debt in 1827, and the estate was required to “sell or lease” some of the family’s 393 ½ acres to satisfy his debts. Lydia, however, remained living on the homestead farm “subject . . . to the widow’s right of dower in her lifetime.”  Richard and Lydia’s son, Daniel Van Manning, is shown as occupying the property on Tompkins County maps dated 1853 and 1866. 
The property passed down through several generations of the Manning family until it was sold to Elmer Savage (1884-1943) and Genevieve Savage in 1920. Elmer Savage was a Cornell professor of Animal Husbandry who was internationally known for developing feed standards for dairy cows. He operated a dairy farm on the former Manning farm and bred Guernsey cows. 
Cornell University purchased the lot in 1968, and in 1994 the Kendal retirement community bought the property. It is currently rented out to Kendal residents as a private home, with Kendal’s wine-making club using the basement.
(Notable Architecture)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMcnRVYlQwRGozTWc&export=download,
2215 North Triphammer Rd,"2215 North Triphammer Rd, Ithaca, NY 14850",,1960,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVzJSNE9NN0dnMlE&export=download,
2219 North Triphammer Rd,"2219 North Triphammer Rd, Ithaca, NY 14850",,1962,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUUphYWNkZlVWcWc&export=download,
222 Berkshire Rd,"222 Berkshire Rd, Ithaca, NY 14850",,1979,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMYW9kWlhLX21ydk0&export=download,
2223 North Triphammer Rd,"2223 North Triphammer Rd, Ithaca, NY 14850",,1966,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVUFqWHo4OURXTzg&export=download,
2225 North Triphammer Rd,"2225 North Triphammer Rd, Ithaca, NY 14850",,1959,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMcWRiUWpQQlV5ZDg&export=download,
2227 North Triphammer Rd,"2227 North Triphammer Rd, Ithaca, NY 14850",,1959,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMck1SdE1OVWVqVk0&export=download,
2229 North Triphammer Rd,"2229 North Triphammer Rd, Ithaca, NY 14850",,1959,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWHd6TnI0RHh6OTg&export=download,
223 Highgate Rd,"223 Highgate Rd, Ithaca, NY 14850",,1940,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMU1RMc2Z0TldjRlk&export=download,
2230 North Triphammer Rd,"2230 North Triphammer Rd, Ithaca, NY 14850",Kendal at Ithaca,1990,,,Institutional,,"Later residence of Dale Corson, Manhattan Project Scientist, Physicist, Cornell President; also, Hans Bethe, Manhattan Project physicist and Nobel Prize winner. (Public Sites; Major Award Winners)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdE5JM2sxc2thTm8&export=download,
2231 North Triphammer Rd,"2231 North Triphammer Rd, Ithaca, NY 14850",,1959,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZ1RUWkpJNG4xa1E&export=download,
2233 North Triphammer Rd,"2233 North Triphammer Rd, Ithaca, NY 14850",,1960,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMaXU1T1RxM2lhSFU&export=download,
2235 North Triphammer Rd,"2235 North Triphammer Rd, Ithaca, NY 14850",,1960,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSENxelNGRGNLT1k&export=download,
2237 North Triphammer Rd,"2237 North Triphammer Rd, Ithaca, NY 14850",,1959,,,Ranch,,One-time residence of physicist and Nobel Prize winner Kenneth G. Wilson. (Major Award Winners),http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LSWdEVktvRlJQTEE&export=download,
224 Highgate Rd,"224 Highgate Rd, Ithaca, NY 14850",,1958,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMY2QtLVlFWm1rV3c&export=download,
225 Berkshire Rd,"225 Berkshire Rd, Ithaca, NY 14850",,1951,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMa1I2b2RyN0JxRkU&export=download,
227 Highgate Rd,"227 Highgate Rd, Ithaca, NY 14850",,1977,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZHdIRlJveHJfU28&export=download,
228 Berkshire Rd,"228 Berkshire Rd, Ithaca, NY 14850",,1952,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMQm5TOTMwTUt0d0k&export=download,
229 Berkshire Rd,"229 Berkshire Rd, Ithaca, NY 14850",,1960,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdjRQWFpGOThSZlE&export=download,
23 Spruce Lane,"23 Spruce Lane, Ithaca, NY 14850",,1984,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMV3JObEhIZjJDeTg&export=download,
230 Berkshire Rd,"230 Berkshire Rd, Ithaca, NY 14850",,1960,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVUxPVXNkZ3NQYVE&export=download,
230 Highgate Rd,"230 Highgate Rd, Ithaca, NY 14850",,1958,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdGt4eUhHeHBId0U&export=download,
231 Berkshire Rd,"231 Berkshire Rd, Ithaca, NY 14850",,1938,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMbGI5SEdSUEJYRlE&export=download,
231 Highgate Rd,"231 Highgate Rd, Ithaca, NY 14850",,1955,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMeWxPa2JOX2FkcHc&export=download,
235 Berkshire Rd,"235 Berkshire Rd, Ithaca, NY 14850",,1960,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMN251Z29UYUNQUUU&export=download,
235 Highgate Rd,"235 Highgate Rd, Ithaca, NY 14850",,1958,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMN1hwSlNkOVNYQmc&export=download,
24 Tyler Rd,"24 Tyler Rd, Ithaca, NY 14850",,1988,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWm9VeG42dWFLVkU&export=download,
26 Spruce Lane,"26 Spruce Lane, Ithaca, NY 14850",,1973,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMRDdEZWt1d2J0czA&export=download,
27 Spruce Lane,"27 Spruce Lane, Ithaca, NY 14850",,1977,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVWQ1RDBjdDVnVDQ&export=download,
3 Highland Park Lane,"3 Highland Park Lane, Ithaca, NY 14850",,1960,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUXBveUJKWkFWYjA&export=download,
3 Lowell Pl,"3 Lowell Pl, Ithaca, NY 14850",,1988,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMU2RaVnNDdDlGRDQ&export=download,
3 Pleasant Grove Lane,"3 Pleasant Grove Lane, Ithaca, NY 14850",,1979,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZkFLTmctZl9rc1U&export=download,
3 Strawberry Lane,"3 Strawberry Lane, Ithaca, NY 14850",,1932,,,Colonial,,"One-time residence of Charles Sibley, ornithologist. ",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMRFBwTjNtZklteEk&export=download,
3 Winthrop Pl,"3 Winthrop Pl, Ithaca, NY 14850",,1966,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMcGxUZHV6YTdKcHc&export=download,
300 Cayuga Heights Rd,"300 Cayuga Heights Rd, Ithaca, NY 14850",,1920,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMeG1CeHZYTEdWTGM&export=download,
300 Iroquois Rd,"300 Iroquois Rd, Ithaca, NY 14850",,1922,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMcEl4dm5hUFJjSXM&export=download,
300 Kline Rd,"300 Kline Rd, Ithaca, NY 14850",,1986,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMOF9GRExDZzRtLUU&export=download,
300 East Upland Rd ,"300 East Upland Rd, Ithaca, NY 14850",,1946,,Erma Cicchetti,Queen Anne,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMeGN5VmszRWhUaUU&export=download,
301 Cayuga Heights Rd,"301 Cayuga Heights Rd, Ithaca, NY 14850",,1928,Carl C. Tallman,,Queen Anne,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMaTNtdEF4TWxwOE0&export=download,
301 Forest Dr,"301 Forest Dr, Ithaca, NY 14850",,1955,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMYVZZMzZjME44SFE&export=download,
301 Highgate Rd,"301 Highgate Rd, Ithaca, NY 14850",,1953,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVmZhTE5xb1lZakk&export=download,
301 Winthrop Dr,"301 Winthrop Dr, Ithaca, NY 14850",,1966,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZVhzYkVkLUhXZjg&export=download,
302 East Upland Rd ,"302 East Upland Rd, Ithaca, NY 14850",,1941,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMb0lwYXVUelViSjA&export=download,
303 Comstock Rd,"303 Comstock Rd, Ithaca, NY 14850",,1968,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdlVDcGJtaWYxS1k&export=download,
303 Highgate Rd,"303 Highgate Rd, Ithaca, NY 14850",,1954,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTlUwNVZuSXctY0E&export=download,
303 North Sunset Dr,"303 North Sunset Dr, Ithaca, NY 14850",,1954,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMaXlwVi03dllTeGs&export=download,
303 The Parkway,"303 The Parkway, Ithaca, NY 14850",,1946,,,Cape Cod,,"Former home to Frank Bonamie, a Cayuga Indian Nation leader instrumental in founding Cornell's American Indian Program. ",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNEdpc0l4bkQ3WDA&export=download,
303 East Upland Rd ,"303 East Upland Rd, Ithaca, NY 14850",The Little House,1900,,,Farm House,http://cayugaheightshistory.weebly.com/303-e-upland-rd---the-little-house---elizabeth-mount-pdf.html,"Originally an outbuilding of the Wyckoff Estate in Cornell Heights, the simple structure was called a ""gymnasium"" because of a dirt track that ran around the outside. Intended for fitness and sport for the leisured class, it was a hastily built structure. The small building was sold for financial reasons, and the Sheldons, who owned the former Bush farm, purchased it for son Ralph Sheldon and his wife Emily and their family. 
 
Cut in half with hand saws, this house was transported up Triphammer Road to number 901. Mrs. Sheldon was widowed after her husband died treating patients with influenza after World War I. So when someone wanted to buy the Triphammer property, she happily hired a tractor to move the house to East Upland Road, though it got stuck in the neighbor's mud on the way! (Notable Architecture, Garden)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMeWRLX3BlY3p2NkE&export=download,
303 Winthrop Dr,"303 Winthrop Dr, Ithaca, NY 14850",,1967,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMX0dhUWxuZ2NzdjA&export=download,
304 Comstock Rd,"304 Comstock Rd, Ithaca, NY 14850",,1940,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNzB4YWRkamNYX1U&export=download,
304 Highgate Rd,"304 Highgate Rd, Ithaca, NY 14850",,ca. 1825-1846; moved ca. 1933-1934,,,Greek Revival,http://cayugaheightshistory.weebly.com/304-highgate-rd.html,"The majestic Greek Revival farmhouse now at 304 Highgate Road was originally located in the Town of Caroline.  According to research by local historian Charles F. Mulks  (1837-1907), Henry K. Morrell built the home on his family's 500-acre farm in 1846. 
In 1933, Martin and Louise Catherwood purchased a large lot at the end of Highgate Road from Jared T. Newman and Jane E.W. Newman. The Catherwoods bought the ""Morrell Mansion"" and had it taken apart, moved, and rebuilt on their Highgate Road property. After the Highgate Section became a part of the Village of Cayuga Heights, Louise Catherwood, who had taught in Cornell's College of Home Economics, served as the first female trustee on the village board, from 1956 to 1959. (Village History, Notable Women, Notable Architecture)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMaE9heGIxT29WeVE&export=download,
304 Klinewoods Rd,"304 Klinewoods Rd, Ithaca, NY 14850",,1940,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMb2pVR3daWS1DWTg&export=download,
304 The Parkway,"304 The Parkway, Ithaca, NY 14850",,1910,,,Craftsman,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMc0lyXy1xeW5iWFk&export=download,
304 Winthrop Dr,"304 Winthrop Dr, Ithaca, NY 14850",,1967,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMQjFTclEtOVJoaFU&export=download,
305 Comstock Rd,"305 Comstock Rd, Ithaca, NY 14850",,1948,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMYXdndHhJV09PXzg&export=download,
305 Highland Rd,"305 Highland Rd, Ithaca, NY 14850",Brookside Apartments,1975,,,Apartments,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdkl3a3lLMU50c1E&export=download,
305 The Parkway,"305 The Parkway, Ithaca, NY 14850",,1913,,,Craftsman,,"One-time home of agriculture professor William A. Stocking, for whom Stocking Hall at Cornell is named.",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZ0VlN1hoZTNSRW8&export=download,
305 East Upland Rd ,"305 East Upland Rd, Ithaca, NY 14850",,1939,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNktINHFoXzZRazg&export=download,
305 Winthrop Dr,"305 Winthrop Dr, Ithaca, NY 14850",,1967,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMXy1Vc1M4QnN2Nzg&export=download,
306 Highland Rd,"306 Highland Rd, Ithaca, NY 14850",Tau Epsilon Phi,1948,,,Greek Revival,,"Former home of chemist Benjamin Widom. (Fraternity, Public Sites, Major Award Winner)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZEs0Zjl6NHQzYXM&export=download,
306 Winthrop Dr,"306 Winthrop Dr, Ithaca, NY 14850",,1965,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMYmdoUXRJaExhOGs&export=download,
307 Comstock Rd,"307 Comstock Rd, Ithaca, NY 14850",,1968,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZWswWHB4MVlfaWc&export=download,
307 Forest Dr,"307 Forest Dr, Ithaca, NY 14850",,1937,Carl C. Tallman,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSzhTY3R6NVBfWDA&export=download,
307 Highgate Rd,"307 Highgate Rd, Ithaca, NY 14850",,1958,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSS1ianVsb1FVQmc&export=download,
307 East Upland Rd ,"307 East Upland Rd, Ithaca, NY 14850",,land only,,,land only,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMS0M0Mk4xbDZTdUU&export=download,
307 Winthrop Dr,"307 Winthrop Dr, Ithaca, NY 14850",,1967,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVVZIYVItS1YzREU&export=download,
308 Cayuga Heights Rd,"308 Cayuga Heights Rd, Ithaca, NY 14850",,1913,Gibb & Waltz,,Spanish Revival,,Notable Architecture,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUV81ODZqb2g1Tlk&export=download,
308 Comstock Rd,"308 Comstock Rd, Ithaca, NY 14850",,1993,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LLVFRNEtxU3c2Q28&export=download,
308 Highgate Rd,"308 Highgate Rd, Ithaca, NY 14850",,1954,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZ2ZQU202S2wzQms&export=download,
308 Kline Rd,"308 Kline Rd, Ithaca, NY 14850",,1961,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdFZFRjFMOFpkYUU&export=download,
308 The Parkway,"308 The Parkway, Ithaca, NY 14850",,1940,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMM1pwdy1lWXBmRzg&export=download,
308 Winthrop Dr,"308 Winthrop Dr, Ithaca, NY 14850",,1967,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNmhwZnlQTU1fdjg&export=download,
309 Cayuga Heights Rd,"309 Cayuga Heights Rd, Ithaca, NY 14850",,1963,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMY29nZDJZVDNBUEk&export=download,
309 Highgate Rd,"309 Highgate Rd, Ithaca, NY 14850",,1960,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUk14WnNQUFJEQnc&export=download,
309 Highland Rd,"309 Highland Rd, Ithaca, NY 14850",First Congregational Church of Ithaca,1990,,,Church,,"Public Sites, Playground, Natural Environment, Trail",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVDFrdkNmUFpLSXc&export=download,
309 The Parkway,"309 The Parkway, Ithaca, NY 14850",,1938,,McPherson,Greek Revival,,"Kirkpatrick Sale was raised in this house. He is an activist and writer, and was co-founder of Students for a Democratic Society, Richard Farina's roomate at Cornell, and founder of the Northern Secessionist Movement.",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVS1PdUhiMFlUV1U&export=download,
Triphammer Road,"42.457686, -76.480546","Jessup Field, Cornell University Athletic Fields",1957,,,Institutional,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMLWFSWFZYN2k3WVk&export=download,
309 East Upland Rd ,"309 East Upland Rd, Ithaca, NY 14850",Bush Farm House,1825,,,Farm House,http://cayugaheightshistory.weebly.com/309-e-upland-rd---bush-farmhouse.html,"John and Elizabeth Sharp purchased the property from the Benjamin Cradit estate in 1824, and the home was built a year later. Elizabeth Sharp sold the property to Charles S. And Maria Manning Bush in 1842. 
The Bush family was originally from Pennsylvania. John and Jane Bush migrated from Stroudsburg, Pennsylvania, to Lansing about 1804. They had twelve children. Their son Charles S. Bush (1798-1864), who was six years old when his family came to Lansing, later married Maria Manning in 1846. Their son, Charles A. Bush (1848-1899), inherited the farm. Developer Jared T. Newman bought the house and surrounding farmland and sold it in 1910-11 to the Sheldon family, who had moved to Ithaca from a farm near Lisle, New York, to take advantage of the excellent education Cornell offered their children. They later bought ""The Little House""at 303 E. Upland Road for their son and his family. (Notable Architecture)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMa01lb09sejBrWlU&export=download,
309 Winthrop Dr,"309 Winthrop Dr, Ithaca, NY 14850",,1967,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVTR0NkFwTERYZ3M&export=download,
310 Comstock Rd,"310 Comstock Rd, Ithaca, NY 14850",,1947,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTzZTX0VFc194MFU&export=download,
310 Iroquois Rd,"310 Iroquois Rd, Ithaca, NY 14850",,1968,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMekFvQlJGSkZQUkU&export=download,
310 North Sunset Dr,"310 North Sunset Dr, Ithaca, NY 14850",,1969,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMaFJHMi1hUFMxZzQ&export=download,
310 Triphammer Rd,"42.457464, -76.482283",Africana Studies and Research Center,1957,"Carl C. and Robert B. Tallman, Ithaca, NY",,Contemporary,http://cayugaheightshistory.weebly.com/310-triphammer-rd---africana-studies-and-research-center.html,"The Africana Studies and Research Center was established in 1969, in the aftermath of the student unrest at Cornell and against the backdrop of the Civil Rights Era. Suspected arson at the Center's initial building on Wait Avenue, following the '69 Willard Straight Hall takeover, convinced the University to provide a new one. Controversy over location ensued; some people, whether associated with the Center or not, considered its proposed placement on the north of campus--a twenty minute walk from central campus--a form of segregation. But 310 Triphammer was agreed upon, and the building includes an extensive library and classrooms. (Public Sites)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMaFk1QjUwaHJxXzg&export=download,
310 East Upland Rd ,"310 East Upland Rd, Ithaca, NY 14850",,1968,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMY2Myc19xaWttNFE&export=download,
311 Comstock Rd,"311 Comstock Rd, Ithaca, NY 14850",,1948,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMDhJNDFESUM4eHM&export=download,
312 Cayuga Heights Rd,"312 Cayuga Heights Rd, Ithaca, NY 14850",,1940,,,Colonial,,"Residence (2004-15) of Pulitzer Prize winning historian Frederik Logevall . (Major Award Winners, Artist)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMRzNDenAwN3pvMGM&export=download,
312 Comstock Rd,"312 Comstock Rd, Ithaca, NY 14850",,1960,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMakRxYVVoTU1HWDA&export=download,
312 Highland Rd,"312 Highland Rd, Ithaca, NY 14850",Kappa Delta Rho,1908,Cornell architecture students,,Inn/Lodge,,"Public Site, Fraternity",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMeXpSU1N4WmxfOWs&export=download,
312 East Upland Rd ,"312 East Upland Rd, Ithaca, NY 14850",,1961,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMczVsaVhyQ3JZWHc&export=download,
313 Comstock Rd,"313 Comstock Rd, Ithaca, NY 14850",,1948,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUWtDcDFRQWNueHc&export=download,
313 The Parkway,"313 The Parkway, Ithaca, NY 14850",,1938,,McPherson,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMYkExSjl0cUVGM2c&export=download,
314 Comstock Rd,"314 Comstock Rd, Ithaca, NY 14850",,1953,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMYWNnc0VrSFhSRDA&export=download,
315 Comstock Rd,"315 Comstock Rd, Ithaca, NY 14850",,1952,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMOVBOcm4zcEV2cmc&export=download,
315 The Parkway,"315 The Parkway, Ithaca, NY 14850",,1939,Sherwood Holt,,Colonial,,"Past resident included Walter Feit, American mathematician who worked in finite group theory and representation theory.",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMcG1aM2swdm9neWM&export=download,
316 Comstock Rd,"316 Comstock Rd, Ithaca, NY 14850",,1962,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMOTVLTXN5X1NEMVk&export=download,
